Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Factors,Type of Rating,Evaluation Metric/Rating System,Evaluation Category,Key Findings,Criticism/Limitation
Rating Player Actions in Soccer,"Uwe Dick, Maryam Tavakol, & Ulf Brefeld",2021,"This study proposes a data-driven model to rate soccer player actions, focusing on ball possession phases and predicting player movements. It evaluates players based on their contribution to team success during these phases using trajectory data.",54,matches,54 Bundesliga matches in the 2017/18 season,Europe,Neural Network,"A Graph Recurrent Neural Network (GRNN) is employed to predict player trajectories and the success of ball possession phases. The GRNN processes the interaction between players and the ball, using a fully connected graph where players and the ball are represented as nodes.",Tracking Data,"passes, shots, tackles, player movements, ball possession phase, spatial positioning",Player,Value functions for different player actions,Action-Centric Performance Metrics,"[1] The GRNN accurately predicts both player movements and the outcome of possession phases. [2] The model highlights the importance of off-ball actions, such as defensive positioning and running into space. [3] The model significantly outperforms a baseline convolutional neural network in predicting successful ball possession outcomes.","[1] The model doesn’t account for the players’ physical state (e.g., fatigue) or body posture, limiting its accuracy in assessing defensive actions. [2] Success is measured by entering a ""dangerous zone"" rather than scoring, which could overlook critical defensive contributions."
Goalkeeper Performance: Analysis of Goalkeepers’ Contribution to Their Team’s Build-up under the Opponent’s Pressure in the 2018 World Cup,"Dimitrios Mikikis, Yiannis Michailidis, Athanasios Mandroukas, George Mavrommatis, & Thomas Metaxas",2021,"This study assesses goalkeeper performance under high-pressure situations during the 2018 FIFA World Cup, focusing on their contribution to offensive build-ups. The analysis examines how goalkeepers adapt in transition phases, especially when initiating play while under pressure from opponents.",64,matches,64 World Cup matches,Global,Unsupervised Learning,"Descriptive and Hierarchical Cluster Analysis to cluster goalkeepers into groups based on pass accuracy, distances, and success under pressure.",Aggregated Data,"passes, dribbling, pass length, pass style",Player,Passing performance,Action-Centric Performance Metrics,"[1] Goalkeepers showed a strong preference for air and long-distance passes under pressure, accounting for nearly 80% of distribution decisions, to maintain possession. [2] Goalkeepers with higher correct pass rates under pressure correlated significantly with match wins, highlighting tactical impact and importance of distribution in goalkeeping. This study supports integrating ball distribution metrics into goalkeeper ratings","[1] The study focuses mainly on distribution skills, omitting defensive and shot-stopping metrics that are critical to goalkeeper evaluation. [2] The study depends on broadcast footage, which may limit accuracy in observing subtle positioning and tactical responses."
What Happened Next? Using Deep Learning to Value Defensive Actions in Football Event-Data,"Charbel Merhej, Ryan J. Beal, Tim Matthews, & Sarvapali Ramchurn",2021,"This study introduces a deep learning-based model, DAxT (Defensive Action Expected Threat), to objectively value defensive actions, such as tackles and interceptions, by quantifying the threat they prevent in football. Unlike traditional metrics, DAxT evaluates a defender's impact based on what might have occurred if the defensive action had not taken place.",760,matches,760 English Premier League (EPL) games across the 2017/18 and 2018/19 seasons,Europe,Neural Network,Multi-layer perceptron neural network to predict xT values for sequences where a defensive action halts an offensive threat.,Event Data,"interceptions, tackles, pass, xT",Player,DAxT: Defensive Actions Expected Threat,Action-Centric Performance Metrics,"[1] DAxT effectively ranks players based on their ability to prevent high-threat situations, aligning with real-world defensive impact and transfer market values. [2] The model highlights how defensive actions differ in value based on field position and team playstyle, as defensive actions occuring higher up the pitch offers offensive threat.","[1] Does not account for defender positioning or multiple opposition attackers, potentially underestimating complex defensive scenarios. [2]  Findings may be limited to EPL style and dataset constraints, impacting generalizability to other leagues, which meakes it unsitiable to judge based on team impact."
Measuring skill via player dynamics in football dribbling,"Lukas Brink, Seung Kyun Ha, Jack Snowdon, Ferran Vidal-Codina, Bobby Rauch, Fan Wang, David Wu, Maurici A. López-Felip, Christophe Clanet, & Anette E. Hosoi",2023,"This paper presents a physics-based model to measure football dribbling skills by analyzing 1v1 dribble events. The study models the dribbling dynamics by assessing player-specific attributes such as top speed, aggressiveness, and hesitance, allowing for quantification of dribbling skill beyond traditional metrics.",17,matches,17 MLS matches,America,Custom Rating Systems,"Adapts Keller’s running model for 2D player movements to simulate dribbling interactions, considering factors like player aggressiveness and defender hesitance.",Tracking Data,"x and y coordinates, speed, trajectory, dribble",Player,Dribble Score,Action-Centric Performance Metrics,"[1] Forwards exhibit higher aggressiveness in dribbling than midfielders, while defenders display increased hesitance when facing top dribblers. [2] Defenders are less aggressive when dribbling starts centrally in the attacking third compared to the flanks, which means central attacking actions in the final third bring more value and danger. [3] Combining traditional metrics with trajectory-based analysis provides nuanced insights, supporting both scouting and in-game decision-making.","[1] Only accounts for two-player interactions in dribbles, excluding influences of multiple defenders. [2] High sensitivity in model parameters may lead to variability in certain scenarios, affecting stability in real-time applications. [3] Based on MLS data from a single team, which may limit applicability across leagues and player styles."
un-xPass: Measuring Soccer Player’s Creativity,"Pieter Robberechts, Maaike Van Roy, & Jesse Davis",2023,The study aims to develop a metric that quantifies the level of creativity involved in a player's pass by utilizing machine learning techniques to assess the originality of the pass and its value in terms of increasing the team’s chances of scoring a goal.,811,matches,811 matches,Europe,Ensemble Learning,"Machine learning model (XGBoost based on handcrafted features and deep learning CNN model) to identify the likelihood of each possible pass destination, the long-term reward of each passing option and the success probability of each passing option. CDR is measured by the difference of the expected values of the chosen pass option and the predicted typical pass.",Event Data,"action type, its time of occurrence in the match, the origin and destination location, the player who performs the action, and the body part used to execute the action",Player,CDR: Creative Decision Rating,Action-Centric Performance Metrics,[1] The models developed for estimating pass success probability highlight the complexities involved in identifying intended receivers and the importance of contextual factors.,"[1] Set pieces are excluded from the study eventhough they bring in importance into a player's creativity levels, but is not being properly assessed. [2]  One key limitation in modeling pass success is that failed passes are harder to analyze because the intended target is unknown. The model makes assumptions about who the intended receiver was based on distance and angle, which introduces potential inaccuracies, especially in cases where the ball was intercepted early or deflected. [3] Metric awards players who attempt atypical passes but neglects the results or the success rate of the pass, which could bring about inaccuracies in the assessment of players creativity volume."
Outcome bias in subjective ratings of performance: Evidence from the (football) field,"Edgar E. Kausel, Santiago Ventura, & Arturo Rodriguez",2018,Studying the independence between performance and outcome to study outcome bias in football players' subjective performance ratings,43,matches,43 games,Global,Regression,multilevel mixed-effects and fixed-effects modeling,Aggregated Data,"performance ratings, penalty shootout result (won/lost), ",Player,Subjective performance rating from goal.com,Player Performance Related,"[1] Players who won the penalty shootout received a higher rating, proving that winning by penalties did have an effect on reporters' performance ratings of footballers. [2] This could lessen the argument for subjective ratings as it's also consistent with extensive literature on biases in performance ratings, as they put unwarranted weight on the outcome.","[1] Goal.com reporters gives holistic ratings and not criteria/metric based structure to footballers, as such they lack coherent foundations from the start. [2] The study could make better judgement with a formula to judge players on, having separate judehemtns on specific performance dimensions (shooting, passing, etc.)."
Data-driven exploratory approach on player valuation in football transfer market,"Yunhu Kim, Khac-Hoai Nam Bui, & Jason J. Jung",2019,"The paper proposes a data-driven approach for classifying football players based on performance and transfer fee, aiming to improve the objectivity and reliability of player valuation in the transfer market. The study focuses on using player performance data to predict post-transfer performance and classify players into value categories.",N/A,N/A,"Not specified, historical data from Whoscored and BBC of players who made transfers",Global,"Regression , Supervised Learning , Unsupervised Learning","Regression analysis to predict player performances after trasnfer. Boruta Algorithm for feature selection to identify important attributes of each position, K-Means Clusterting to classify players into 4 catgoeries based on performance and transfer fee.",Aggregated Data,"assists, goals, dribbles, key passes, pass success rate, and transfer fee",Player,Categorized into 4 clusters: LPLF: Low performance and low transfer fee. LPHF: Low performance and high transfer fee. HPHF: High performance and high transfer fee. HPLF: High performance and low transfer fee.,Financial Related,"[1] The Boruta algorithm was effective in identifying important performance attributes like assists, dribbles, and key passes for different positions. [2] Clustering results reveal that transfer fees are not always aligned with player performance, as some high-fee players underperform post-transfer, while lower-fee players overperform, which suggests transfer fees are often impacted by different factors that are not considered in the study (club finances). [3] Passing performances and dribbling are critical in the evaluation of players in most position according to the  Boruta algorithm, which shows that a player's technical ability is high regarded in their value.",[1] No contextualized information on the statistical data. [2] Transfer fee is not suitable as a variable due to the intangible factors like club finances not being included in the study. Regression analysis done on the transfer fee of the player misleads the true quality and performance of the player.
Estimation of Market Values of Football Players through Artificial Neural Network: A Model Study from the Turkish Super League,Tugbay Inan & Levent Cavas,2021,"The study develops an Artificial Neural Network (ANN) model to estimate the market values of Turkish Super League (TSL) players using performance-based parameters, with the goal of offering an objective valuation approach based solely on performance metrics.",236,player,236 midfield players from the Turkish Super League,Europe,Neural Network,Artificial Neural Network (ANN) with optimization of hidden layers and backpropagation algorithms.,Aggregated Data,"Minutes played, goals, expected goals (xG), assists, expected assists (xA), defensive duels won, tackle success, shot accuracy, short/mid pass accuracy, long pass accuracy, passes to penalty area",Player,Predicted Market Value,Financial Related,"[1] ANN was able to predict market values efficiently when simulated data was used, but not with real data from OPTA, showing how difficult it is to evalaute players based on market value using real performance data as Market value considers different aspects outside the pitch. [2] Metrics like minutes played, pass accuracy, and shots on target were influential in determining market values, highlighting the importance of consistent play and skill.","[1] Lack of correlation with real-world data indicates limitations in using only performance metrics to predict market value. [2] Simulated data may not reflect real-world complexities, limiting model applicability in actual transfer valuations. [3] No contextualized information on the statistical data."
Performance and Actual Pay in Norwegian Soccer,Christer Thrane,2019,"This study examines the relationship between player performance and pay in Norwegian soccer, specifically within Eliteserien, Norway's top league. It aims to determine whether market values can be a reliable proxy for actual earnings in performance-pay studies.",240,player,"240 players from the 2014 season of Eliteserien, Norway’s premier soccer league",Europe,Regression,Ordinary Least Squares (OLS) regressions to compare market value-based estimates with actual earnings.,Aggregated Data,"mean match ratings from journalists, national team appearances, club appearances, minutes played",Player,Player Earnings and Market Value,Financial Related,"[1] The study demonstrates that player longevity and consistent performance (e.g., club appearances, national team caps) contribute significantly to actual pay, highlighting the value of rating systems that account for sustained career achievement. [2] Market values might misrepresent a player’s consistent contributions and overrate single-season impacts, suggesting that actual salary-based ratings could yield more reliable long-term evaluations.","[1] Eliteserien's distinct financial environment may not generalize to larger leagues. [2] The study relies primarily on ratings and basic performance metrics, lacking deeper game metrics like assists or defensive actions. [3] Lagged performance and earnings data potentially overlook more immediate impacts of performance on pay."
Uncovering Value Drivers of High Performance Soccer Players,"Maribel Serna Rodríguez, Andrés Ramírez Hassan & Alexander Coad",2019,"This study aims to identify key factors driving the market value of high-performance soccer players in Europe's top leagues. Using Bayesian Model Averaging (BMA) to account for model uncertainty, the research uncovers critical value drivers among numerous potential factors, distinguishing value-enhancing from value-diminishing attributes.",335,player,335 players from the five major European leagues across 2015-2020,Europe,Bayesian Methods,"Bayesian Model Averaging (BMA) utilized to address model uncertainty by generating a weighted average across multiple model specifications .Instrumental Variable Bayesian Model Averaging (IVBMA) addresses endogeneity in player market value and performance measures, enhancing reliability.",Aggregated Data,"appearance, age, national team appearances, goals",Player,Market Value ratings,Financial Related,"[1] Player appearances, national team participation, age and goal scored drive market value. [2] BMA and IVBMA help discern truly significant factors by adjusting for model uncertainty and endogeneity.","[1] Lacks longitudinal insights; therefore, it doesn’t capture year-over-year changes in individual player performance or market trends. [2] High computational demands make this approach challenging to apply in real-time contexts or as a regularly updated model. [3] BMA assumes static relationships within models, which may overlook evolving market trends or league-specific factors."
Determinants of Transfers Fees: Evidence from the Five Major European Football Leagues,Lennart Ante,2019,"This study investigates the determinants of transfer fees in football by analyzing various player and club characteristics that impact market value, covering transfers in the five major European leagues during the 2018/19 season. It explores how demographics, performance, social media popularity, and other external factors influence transfer fees across sub-groups of players.",389,player,389 transfers from the 2018/19 summer window in the top five European leagues,Europe,Regression,"Stepwise Regression with Backward Elimination analyzes the influence of multiple variables on transfer fees, removing non-significant factors iteratively, while Variance Inflation Factor is used to ensure minimal multicolinearity in regression models.",Aggregated Data,"transfer data, social media metrics, demographics",Player,Predicted Transfer Fee,Financial Related,"[1] Goals and social media presence positively impact transfer fees, with social media particularly relevant in Ligue 1, however popularity does not dictate performance levels. [2] Transfer determinants vary by league and position, with age and playing time more predictive in some leagues and for forwards. [3] Players from Europe and South America, especially forwards and offensive midfielders, tend to command higher transfer fees, showing the popularity in European football and why many literature is based on European football.","[1] Reliance on public databases may exclude unreported transfer fees or hidden variables like agent fees. [2] Popularity and fame are not indicative measures of a player's performance levels, which suggests that transfer valiue of players cannot be relied on. [3] No contextualized information on the statistical data."
Scientific evaluation of the transfer value of football players,"Raffaele Poli, Loïc Ravenel, & Roger Besson",2020,"The study aims to develop a robust, statistical model to estimate the transfer market values of football players using objective data, which allows for a scientific approach to determining these values and helps clubs make more informed financial and strategic decisions.",1790,player,"1,790 paid transfers involving players in the top five European leagues between 2012 to 2020",Europe,Regression,"Regression models to incorporate both sporting and financial variables. Regularization techniques were used to address financial variances and improve model stability, accounting for various club-related factors like financial strength.",Aggregated Data,"contract duration, player age, international status, career progression, league reputation, transfer seasons, club financial capacity",Player,Transfer Value,Financial Related,"[1] Model explained over 80% of the varience in actual trasfer fees, indicating a strong alignment with real-world market valuations. [2] Analysis showed that club financial power (wealthier clubs) significantly impacts transfer values, with wealthier clubs often paying higher fees for players, which suggest that player's own transfer value is heavily dictated by factors outside the player's control. ","[1] External factors such as club's need for liquidity, internal player conflicts can cause discrepancies between estimated values and actual market price. [2] No contextualized information on the statistical data. [3] The model may be less effective outside of the top five European leagues due to differing economic conditions, competition levels, and market dynamics across various global leagues."
How Soccer Players’ Box Score Statistics Effect on their Rating and Market Value,Haoyang Yan,2020,"This study explores how box score statistics influence players’ ratings and market values. By introducing a new statistic, Box Rating (BR), the research seeks to quantify player performance based on 26 game metrics and use statistical models to assess the relationship between these metrics, player ratings, and market valuations.",2024,player,"2,024 players from Europe’s top five leagues (Premier League, La Liga, Serie A, Bundesliga, Ligue 1) over three seasons (2017-2020)",Europe,Regression,Multiple Linear Regression used to derive the Box Rating (BR) by regressing 26 box score variables against player ratings.,Aggregated Data,"box score statistics, market value data, FIFA20 ability ratings",Player,Box Rating and Predicted Market Value,Financial Related,"[1] Goals and assists were the most impactful on BR and ratings, while negative actions (e.g., fouls, yellow cards) diminished ratings. [2] BR showed a strong correlation (0.89 R²) with player ratings from WhoScored, validating it as a robust performance metric. [3] Market value correlates not only with BR but also with player age and popularity, indicating that external factors significantly affect valuations.","[1] Goalkeepers showed less correlation with BR due to fewer box score metrics applicable to their role, complicating their valuation. [2] Using Transfermarkt values and FIFA20 ratings may introduce bias from subjective or video game-based evaluations. [3] No contextualized information on the statistical data."
Predicting Market Value of Football Players Using Machine Learning Algorithms,Sidharrth Mahadevan,2020,"This study aims to address the challenge of estimating football players' market value accurately, focusing on machine learning as a data-driven alternative to crowdsourced methods like Transfermarkt.",4250,player,"4,250 players across 150 European teams, covering a five-season span (2010/11–2015/16)",Europe,Regression,"Ordinary Least Squares (OLS) regression was used, alongside variables selected through data mining and feature engineering.",Aggregated Data,"Goals, minutes played, bookings, dribbles, passes, tackles, aerial duels per game, Google Trends, Wikipedia views, Reddit score, YouTube views, Height, age, nationality, footedness, position",Player,Market Value,Financial Related,"[1] The model closely aligns with Transfermarkt values, especially for low- to mid-market players, achieving around 85% accuracy. [2] Objective indicators outperform crowd judgments, providing a reproducible and transparent approach to valuation.","[1] Model shows difficulty accurately predicting values of top-tier players due to the intangible factors. [2] The model lacks granular performance data, which large organizations use to capture extensive metrics per player per game. [3] Transfermarkt’s subjective inputs introduce potential bias, as crowd valuations favor players with high public appeal."
