Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Number of Factors,Factors,Type of Rating,Evaluation Measure,Evaluation Category,Study Design,Key Findings,Criticism/Limitation
An Improved Evaluation Method for Soccer Player Performance Using Affective Computing,"Wei Liu, Xiang Xie, Sifan Ma, & Yuxiang Wang",2020,"This paper proposes an evaluation method that incorporates affective computing to assess soccer player performance by measuring both the quantity and quality of in-game events. Traditional methods only count event occurrences, like goals or tackles, without considering qualitative aspects. By integrating affective scores derived from post-match reports, this approach aims to provide a more nuanced assessment.",23500,player,"23,500 player observations from Chinese Super League",Asia,"Regression , Neural Network","Affective Computing with Long Short-Term Memory (LSTM) Network for sentiment analysis on post-match reports, assigning affective scores to player actions based on text sentiment. Data Fusion with Linear Regression combines traditional statistics with affective scores to create modified player statistics for evaluation.",Aggregated Data and Text Data,36,"traditional metrics, quality of actions",Player,Player Ratings,Player Performance Related,Predictive,"[1] Players ranked highly by the affective-enhanced model had market values 12.15 million higher than those from traditional rankings, indicating better real-world alignment. [2] Affective scores added significant value in evaluating forward players, as these players have more positive media coverage, indicating bias results.","[1] The models affective scores are reliant on media coverage, which may introduce bias, especially in high-profile or controversial games. [2] Actions like positioning and marking are challenging to quantify using affective scores from post-match reports."
Diverse Machine Learning for Forecasting Goal-Scoring Likelihood in Elite Football Leagues,"Christina Markopoulou, George Papageorgiou & Christos Tjortjis",2024,"The study aims to forecast goal-scoring likelihood among players across four major European leagues using advanced machine learning techniques. It evaluates the predictive accuracy of several machine learning models for player goal predictions. By forecasting goal-scoring likelihood, the model provides an objective, data-driven basis for evaluating strikers and offensive players contributions.",424,player,424 players across four leagues,Europe,Supervised Learning,"XGBoost, gradient boosting, random forest, ridge regression, linear regression, and multilayer perceptron (MLP)",Aggregated Data,36,"Player, Nation, Squad, Position, Age, Born, Matches Played, Starts, minutes played, Goals, Assists, Goals + Assists, Penalty Kicks, Penalty Attempts, Yellow Card, Red Card, Previous Goals, Expected Goals, Non Penalty Expected Goals, Expected Assisted Goals, Non penalty Expected Goals + Expected Assisted Goal + Expected Goals, Non Penalty Expected Goals, Progressive Carries, Progressive Passes, Progressive Received, League, Goals, Assist, Goals + Assist,  Goals + Assists - Penalty",Player,Goal-Scoring Likelihood,Player Performance Related,Predictive,"[1] XGBoost consistently outperforms other models in most datasets, showing strong predictive accuracy, particularly in Serie A with an MAE of 1.29. [2] Expected Goals (xG) and previous goals are critical features as they provide added context into the actions that take place.","[1] The model heavily depends on historical scoring data, which might limit its predictive power for new players or those returning from injuries. [2]  The ensemble and neural models, while accurate, may lack transparency, making it challenging for clubs to understand the factors influencing predictions. [3] The studys focus on top-scoring players might introduce selection bias, as lower-scoring players or defenders are less represented in goal-scoring prediction models."
Using composite performance variables to explain football players market values,Christer Thrane,2024,The present study examines how Fotmob's composite performance index (ratings) is associated with football players market values as defined by the Norwegian website FotMob and by the German website Transfermarkt.,240,matches,240 Eliteserien matches,Europe,Regression,Regression analysis to find relationship between FotMob ratings and market values neet of the independent variables typically used in previous regression models,Aggregated Data,35,"FotMob composite index, minutes played, Goals, Assists, Yellow cards, Red cards, Footedness, National-team cap dummy, appearances, Age, Age squared, Position, Nationality region, Year of contract signing, Year of contract termination, European-cup matches, Domestic titles/wins, Previous-clubs count, Team fixed-effects",Player,Transfermrkt Market Value & Fotmob performance index,Financial Related,Explanatory (associational/regression),"[1] Fotmob performance index contributed with unique explanatory power regarding market values. [2] Fotmob performance index also contigent on player's age (younger), player positions (midfielder/striker), and players with longer contract durations. [3] Certain independent variables effects on market value is exaggerated when not adjusted for the composite performance index. [4] Fotmob performance index has ample explanatory power when predicting ratings for players when tested against subjective ratings from reporters.",[1] No contextualized information on the statistical data. [2] Potential issues with multicolinearity due to large usage of independent variables. [3] Small dataset may not provide enough predicitve power to analysis.
Forecasting Football Match Results Using a Player Rating Based Model,Benjamin Holmes & Ian G. McHale,2024,"The study introduces a player-based model for forecasting football match results, with a focus on using individual player ratings to predict match outcomes. It aims to improve upon traditional team-based models by incorporating player-level data to better capture the dynamic nature of team strength.",6824,matches,"6,824 matches across 9 years",Europe,Regression,Player-based model using Whoscored ratings,Event Data,32,"WhoScored match rating, league dummy, player dummy, home advantage, Defending-player position dummies, position, Attacking team formation , Defending team formation, Position-specific intercept for each logit",Player,AWS: Average Whoscored Rating,Player Performance Related,Predictive,[1] The inclusion of adjusted player ratings and interaction weights offers better performance in terms of Brier scores and ROI. [2] The player-based model (skellamfull) improves predictive accuracy compared to team-based models.,"[1] Whoscored ratings are not adjusted to league quality. [2] some players appear in a small number of games. Taking a simple average of their performance ratings to estimate how they can be expected to perform in the future is likely to result in volatile, unrealistically high or low average ratings."
Performance and Actual Pay in Norwegian Soccer,Christer Thrane,2019,"This study examines the relationship between player performance and pay in Norwegian soccer, specifically within Eliteserien, Norway's top league. It aims to determine whether market values can be a reliable proxy for actual earnings in performance-pay studies.",240,player,"240 players from the 2014 season of Eliteserien, Norways premier soccer league",Europe,Regression,Ordinary Least Squares (OLS) regressions to compare market value-based estimates with actual earnings.,Aggregated Data,29,"Age, Age Squared, Norwegian, Foreign, Positions, appearances, National-Team Caps, Mean Journalist Ratings, minutes played Played, Player earnings, Player Market Values, Player Earnings (logged), Player Market Values (logged), fixed effects for teams",Player,Player Earnings and Market Value,Financial Related,Explanatory (associational/regression),"[1] The study demonstrates that player longevity and consistent performance (e.g., club appearances, national team caps) contribute significantly to actual pay, highlighting the value of rating systems that account for sustained career achievement. [2] Market values might misrepresent a players consistent contributions and overrate single-season impacts, suggesting that actual salary-based ratings could yield more reliable long-term evaluations.","[1] Eliteserien's distinct financial environment may not generalize to larger leagues. [2] The study relies primarily on ratings and basic performance metrics, lacking deeper game metrics like assists or defensive actions. [3] Lagged performance and earnings data potentially overlook more immediate impacts of performance on pay."
Football analytics: a Higher-Order PLS-SEM approach to evaluate players performance,Mattia Cefis & Maurizio Carpita,2022,"This paper looks to adopt a Higher-Order PLS-SEM approach to the sofifa KPIs (e.g. Key Performance Indicators) in order to compute a composite indicator and compare it with the well-known overall index from EA Sports, so that player evaluation is more complete.",106,player,106 midfield player from Serie A 2015/16,Europe,"Unsupervised Learning , Structural Modelling","Higher-Order PLS-SEM to measure causality relations between the 6 sofifa traits and the basic statisical variables (manifest variables), and find out which variables are important.",Aggregated Data,29,"Acceleration, Sprint Speed, Agility, Balance, Reactions, Ball Control, Dribbling, Vision, Crossing, Short Pass, Long Pass, Finishing, Shot Power, long shots, Volleys, Penalties, Heading Accuracy, Strength, Stamina, Jumping, Aggression, interceptions, Marking, Standing Tackle, Sliding Tackle, Curve, FK Accuracy, Positioning, Composure",Player,Manifest variables measuring their importance towards Latent variables,Player Performance Related,Predictive,"[1] When comparing with different datasets (SoFIFA and FIFA), loadings are calculated differently which means that different datasets can conjure different causality relationships with the main attributes or KPI. [2] FIFA Cards index achieved a better good of fit, but the correlation with EA overall index is similar in both groups.","[1] The PLS-SEM model simplifies the relationships between variables by treating some stats as causes and others as effects (e.g., shots leading to higher performance). However, football is a dynamic game with complex interactions between players, teams, and tactics that might not fit neatly into this framework. [2] The authors assume that the stats (MVs) ""form"" the latent variables (LVs) like attacking and defending, meaning they believe the stats cause the latent variables. Misunderstanding whether variables are formative or reflective can distort the results. [3] The model treats the chosen variables as equally important within their groupings. However, not all performance metrics (e.g., dribbles vs. key passes) hold the same weight in contributing to overall performance."
Predictive Analysis of Football Player Market Value Using Machine Learning,Gokul Krishna and Dr. Anjana S Chandran,2021,"This study aims to predict the market values of football players by leveraging machine learning models, focusing on improving valuation accuracy for financial and strategic decisions in club management.",N/A,N/A,N/A,Europe,Regression,Linear regression and supervised machine learning models,Aggregated Data,12,"Age, Height, Weight, Release Clause, Growth Potential, Overall Rating, International Reputation, minutes played Played, Passes, Goals, Assists, appearances",Player,Market Value,Financial Related,Predictive,"[1] Regression-based methods, provided strong accuracy when predicting market values for mid-tier players, where market volatility is moderate. [2] Key performance metrics (e.g., goals, assists) and demographic data significantly impacted market value prediction.","[1]  The model struggles with the market values of high-tier players due to intangible factors, not quantifiable with traditional metrics. [2]  The models ability to generalize across different leagues and tiers may be limited without additional market-specific training data."
How Soccer Players Box Score Statistics Effect on their Rating and Market Value,Haoyang Yan,2020,"This study explores how box score statistics influence players ratings and market values. By introducing a new statistic, Box Rating (BR), the research seeks to quantify player performance based on 26 game metrics and use statistical models to assess the relationship between these metrics, player ratings, and market valuations.",2024,player,"2,024 players from Europes top five leagues (Premier League, La Liga, Serie A, Bundesliga, Ligue 1) over three seasons (2017-2020)",Europe,Regression,Multiple Linear Regression used to derive the Box Rating (BR) by regressing 26 box score variables against player ratings.,Aggregated Data,26,"goals, assists, key pass, turnovers, dispossession, clearances, saves, tackles won, interceptions, shots total, shot-adjusted distance, shot-on-target %, penalty taken, long pass, long pass accuracy %, short passes, short-pass accuracy %, dribbles, dribbles %, aerial duels, aerial duel success %, own goals, fouls drawn, fouls committed, yellow cards, red cards",Player,Box Rating and Predicted Market Value,Financial Related,Predictive,"[1] Goals and assists were the most impactful on BR and ratings, while negative actions (e.g., fouls, yellow cards) diminished ratings. [2] BR showed a strong correlation (0.89 R²) with player ratings from WhoScored, validating it as a robust performance metric. [3] Market value correlates not only with BR but also with player age and popularity, indicating that external factors significantly affect valuations.","[1] Goalkeepers showed less correlation with BR due to fewer box score metrics applicable to their role, complicating their valuation. [2] Using Transfermarkt values and FIFA20 ratings may introduce bias from subjective or video game-based evaluations. [3] No contextualized information on the statistical data."
Racial bias in newspaper ratings of professional football players,"Francesco Principe, & Jan C. van Ours",2022,"This study investigates the presence of racial bias in Italian sports newspapers' ratings of professional football players, focusing on whether black players receive lower ratings than non-black players despite comparable objective performance metrics. By examining ratings from three Italian newspapers, the study seeks to understand the potential influence of race on subjective evaluations in sports media.",1835,player,"1,835 player-season observations for outfield players in Italys Serie A over nine seasons (2009-2018), excluding goalkeepers",Europe,Regression,"Ordinary Least Squares (OLS) Regression is used to establish the relationship between player race and ratings. Unconditional Quantile Regression (UQR) provides distributional analysis, highlighting differences in racial bias across rating quantiles.",Aggregated Data,26,"goals, assists, shots per game (SpG), pass-success %, aerial duels won, tackles, interceptions, long pass, through ball, shots off-target, shots on-post, shots on-target, shots blocked, dispossession, inaccurate crosses, inaccurate corners, yellow cards, red cards, age, age squared, international-capped dummy, minutes played played, on-field position dummies (defender = reference; midfielder; forward), team strength, race",Player,Newspaper Ratings,Player Performance Related,Explanatory (associational/regression),"[1] Black players tend to receive significantly lower ratings in the lower performance quantiles, particularly in Corriere and TuttoSport, suggesting unconscious bias among evaluators at this range. [2] While media ratings exhibit racial bias, club wages do not reflect such bias, possibly due to the competitive nature of football clubs in valuing player skills objectively.","[1] Goalkeepers were excluded due to different rating standards, limiting generalizability to this position. [2] The study does not delve into why media bias persists, leaving open the question of whether it stems from unconscious discrimination or reader preferences."
Machine Learning Models Reveal Key Performance Metrics of Football Players to Win Matches in Qatar Stars League,Jassim Almulla & Tanvir Alam,2020,The study aims to develop machine learning models to identify key performance metrics that contribute to winning football matches in the Qatar Stars League (QSL). It seeks to use these metrics to create a classification model that can predict whether a team will win or lose a match based on player performance.,1121,matches,"1,121 matches",Asia,Supervised Learning,Classification framework in the machine learning context,Aggregated Data,25,"Blocks, clearances, Corners, Crosses, Dribbles, Fouls, Free-kicks, interceptions, Offsides, Red cards, Shots Missed, Shots on Target, Successful Passes, Tackles, Unsuccessful Passes, Yellow cards, Standing Distance, low-speed distance, moderate-speed distance, high-speed distance, elevated-speed distance, very-high-speed distance, Number of Forwards, Number of Midfielders, Number of Defender",Player,Key Performance Metrics,Team Performance Related,Predictive,"[1] Shots on Target by Forwarders is the most significant metric, Successful Passes, High-Speed Distance, Defenders' Role, Fair Play are determinants of winning. [2] The Logistic Regression (LR) model was the best performing, achieving over 80% accuracy in predicting match outcomes.","[1] The study excludes draw matches from the analysis, focusing solely on wins and losses, the model may be oversimplifying the dynamics of football matches and missing out on a third, often crucial, outcome. [2] No contextualized information on the statistical data. [3] The data used is specific to the Qatar Stars League (QSL), which might not be as comprehensive as data from higher-profile leagues, the model may not be robust enough to apply to other leagues or future seasons without retraining. "
On the relationship between +/ ratings and event-level performance statistics,Garry A. Gelade & Lars Magnus Hvattum,2020,"This study investigates the relationship between event-level performance statistics (e.g., passes, interceptions) and the Plus-Minus (PM) rating system, a player rating methodology widely used in sports analytics. The paper examines the effectiveness of integrating specific player events to improve the predictive power and reliability of PM ratings for football.",16430,matches,"16,430 matches across five top European leagues",Europe,Regression,Multiple Linear Regression analyzes event-based data to assess variance in PM ratings. Recursive Feature Elimination to refine predictor variables for each position-specific PM model.,Event Data,24,"Touches, Successful Passes, Total Pass Length, Pass Completion, Passes Completed, Pass Value, key pass, through ball, goals, Shots on Target, Assists, Successful Take-Ons, Successful Take Ons%, Ground Duels Won, Successful Aerial Duels, Successful Aerial Duels %, Aerial Duels Won, interceptions & Blocks, Tackles Made, clearances, recoveries, Saves (out-field), Saves-to-Shots Ratio (keepers only), Total cards, fouls, Dispossession, Mean Pass Length",Player,Enhanced Plus/Minus Ratings,Player Performance Related,Explanatory (associational/regression),"[1] Event-level statistics explain 22%-38% of variance in PM ratings, suggesting moderate alignment between top-down (PM) and bottom-up (event-based) metrics. [2] Event factors like key passes and interceptions strongly influence ratings for forwards and defensive midfielders, while goalkeepers rely heavily on saves and pass completion. [3] Combining event-based data with PM ratings improves match outcome predictions slightly but highlights PM ratings limitations as player-specific performance measures.","[1] PM ratings often incorporate both a player's direct contributions and contextual factors like team dynamics, which can dilute or misrepresent an individual players true performance. [2] The PM model favors forwards and attacking players, as these roles more directly affect score differentials. [3]  PM ratings for players with limited playtime or inconsistent performance can be highly variable, potentially affecting reliability in less predictable positions."
Goalkeeper Performance: Analysis of Goalkeepers Contribution to Their Teams Build-up under the Opponents Pressure in the 2018 World Cup,"Dimitrios Mikikis, Yiannis Michailidis, Athanasios Mandroukas, George Mavrommatis, & Thomas Metaxas",2021,"This study assesses goalkeeper performance under high-pressure situations during the 2018 FIFA World Cup, focusing on their contribution to offensive build-ups. The analysis examines how goalkeepers adapt in transition phases, especially when initiating play while under pressure from opponents.",64,matches,64 World Cup matches,Global,Unsupervised Learning,"Descriptive and Hierarchical Cluster Analysis to cluster goalkeepers into groups based on pass accuracy, distances, and success under pressure.",Aggregated Data,14,"Total passes, Passes under pressure, Passes without pressure, Correct passes under pressure, Incorrect passes under pressure, Correct passes without pressure, Incorrect passes without pressure, Short-distance passes (< 23 m), Long-distance passes (> 23 m),  Ground passes,  Air passes, One-touch passes, Two-touch passes, Three-or-more-touch + dribbles-and-pass actions",Player,Passing performance,Action-Centric Performance Metrics,Descriptive (summaries/associations),"[1] Goalkeepers showed a strong preference for air and long-distance passes under pressure, accounting for nearly 80% of distribution decisions, to maintain possession. [2] Goalkeepers with higher correct pass rates under pressure correlated significantly with match wins, highlighting tactical impact and importance of distribution in goalkeeping. This study supports integrating ball distribution metrics into goalkeeper ratings","[1] The study focuses mainly on distribution skills, omitting defensive and shot-stopping metrics that are critical to goalkeeper evaluation. [2] The study depends on broadcast footage, which may limit accuracy in observing subtle positioning and tactical responses."
On the use of passing network indicators to predict football outcomes,"Riccardo Ievoli, Lucio Palazzo & Giancarlo Ragozini",2021,"This study investigates the predictive value of network-based metrics derived from passing networks in determining match outcomes. It seeks to assess whether these metrics can enhance predictive models for winning probabilities, using both network indicators and traditional match variables.",96,matches,"96 matches from the 2016-2017 UEFA Champions League Group Stage, involving 32 top European teams",Europe,Graph-Based Modelling,"Binomial Logistic Regression (BLR) and compares it with machine learning models like Artificial Neural Networks (ANN), Naive Bayes (NB), and Random Forest (RF)",Event Data,24,"UEFA club ranking, domestic-league ranking, home/away dummy, shots, offsides, fouls committed, Possession, total team running-distance, passes, network diameter, largest clique size, count of maximal cliques, reciprocity, global clustering, pass-success %, diversity (entropy), hubs, authorities, PageRank, assortativity, average neighbourhood degree, betweenness centrality, closeness centrality, degree centrality",Team and Player,Player Network Centrality,Team Performance Related,Predictive,"[1] The inclusion of network-based indicators enhances model accuracy, with BLR achieving higher AUC and accuracy than models without network data, showing that contextual element of a player's passing adds value to the accuracy of the model. [2] Betweenness centralization and network diameter significantly contribute to predicting a teams probability of winning, and thus gauging a player's role in creating connectivity, highlighting influential players in passing networks. [3] Among the tested models, BLR performs well with a balance between sensitivity and specificity, suggesting it is a reliable approach for win prediction.","[1] The study focuses solely on passing networks without considering positional or spatial data, which could provide critical context on how passes and formations impact outcomes. [2] The model is developed using data from high-profile UEFA Champions League teams, which may limit applicability to teams with different playing styles or less structured passing dynamics."
Estimating transfer fees of professional footballers using advanced performance metrics and machine learning,Ian G. McHale & Benjamin Holmes,2023,The study aims to develop a model to predict the transfer fees of professional football players using advanced performance metrics and machine learning techniques. This model seeks to improve the prediction accuracy of transfer fees by incorporating data-driven metrics and sophisticated algorithms.,1946,player,"1,946 player transfers across 36 leagues from the 2011-2020 seasons",Global,"Regression , Ensemble Learning","Linear regression, elastic-net regression, and advanced machine learning models such as XGBoost and extreme gradient boosting with dropout regularization (xgbDART)",Event Data,24,"Age, Age squared, Height, Contract Remaining, On-Loan Status, International Caps in Last 3 Years, minutes played Played, Goals, key pass, Aerial Duels, Tackles Won, Median Purchase Price Club To, Median Purchase Price Club From, Centre Back, Central Defensive Midfielder, Centre Midfielder, Fullback, Side Midfield, Striker, Winger, GIM Performance, xGPM, Overall Rating, Potential Rating, Potential Rating - Overall Rating",Player,Predicted Transfer Fee,Financial Related,Predictive,"[1] Machine learning models (XGBoost and xgbDART) significantly outperform traditional regression in predicting transfer fees, achieving R² values around 0.77. [2] Advanced player metrics (GIM and xGPM) improve prediction accuracy by offering a deeper insight into player contributions beyond traditional metrics like goals because they provid contextual information of the event. [3] The model identifies key variables influencing transfer fees, such as a clubs recent spending history and advanced performance metrics, enabling clubs to identify value-for-money transfers.","[1] The model's reliance on club-specific financial metrics, while useful, may lead to biases that reinforce disparities among clubs with varying budgets. This might limit its applicability for smaller clubs without consistent spending histories. [2] While SoFIFA ratings enhance the model, these crowd-sourced values introduce potential biases, as they may not always reflect real-time player performance accurately."
A novel hybrid method for selecting soccer players during the transfer season,"Mohammad Mahdi Nasiri, Mojtaba Ranjbar, Madjid Tavana, Francisco J. Santos Arteaga & Reza Yazdanparast",2019,"The study presents a multi-criteria decision-making framework integrating fuzzy Analytic Network Process (ANP), PROMETHEE II, and bi-objective mathematical programming to support optimal player selection, accounting for both performance and budget constraints.",60,player,60 players from an Iranian soccer team,Asia,Decision & Heuristic Systems,"The model integrates fuzzy ANP for criteria weighting, PROMETHEE II for player scoring, and bi-objective integer programming for selection optimization, followed by Data Envelopment Analysis (DEA) to refine Pareto-efficient solutions.",Aggregated Data,23,"Passing, ball control, Heading, Free-kick, Finishing, Tackling, Dribbling, Shooting, Moving-without-ball, Crossing, awareness, Team-working, Self-confidence, adaptability, Read-the-game, Creativity, Stamina, Jumping, Speed, Power, Reaction time, Two-footedness, Injury-rate",Player,Overall Player Score,Player Performance Related,Algorithmic rating/composite,"[1] The integrated approach facilitates efficient player selection by balancing performance and financial criteria. [2] The model enables teams to create a balanced roster within budget, while avoiding an overreliance on high-cost star players. [3] The model supports flexible transfer strategies, including loans and permanent acquisitions, tailored to team needs.","[1] The integration of fuzzy ANP and PROMETHEE II with DEA and integer programming is computationally intensive, which may limit its accessibility for real-time decision-making. [2] The need to assign weights for criteria in fuzzy ANP can introduce bias if not carefully managed. [3] The model is designed for transfer season selection, potentially limiting its applicability to long-term team planning or multi-season analysis."
Pitch actions that distinguish high scoring teams: Findings from five European football leagues in 2015-16,Sumit Sarkar & Soumyakanti Chakraborty,2018,"The study aims to identify key pitch actions that significantly impact the scoring ability of teams, focusing on non-penalty goals scored per match. The authors examine various technical and tactical variables to determine what differentiates high-scoring teams across major European leagues.",1826,matches,1826 matches,Europe,Regression,Log-linear regression model is employed to identify impactful variables,Aggregated Data,21,"Shooting accuracy, Short-pass accuracy, long pass accuracy, Cross accuracy, Corner accuracy, Free-kick accuracy, Dribble success, aerial duels won, Shots from outside box, Shots from penalty box,  Shots from goal box, Share of shots from penalty box, Share of shots from goal box, Short passes , long pass, Share long pass, Crosses, Dribbles, Possession %, Corners, Free-kicks",Team and Player,Non-Penalty Goals Scored per game,Action-Centric Performance Metrics,Explanatory (associational/regression),"[1] Shots from the Penalty Box are a primary determinant, with a strong positive correlation to non-penalty goals per game, suggesting close-range shots are most effective for scoring. [2] Long Pass Accuracy positively influences scoring, but an increased share of long passes in total passes shows a negative impact, highlighting the advantage of technical proficiency over frequency. [3] Crosses per Game negatively affect scoring outcomes, which indicates that high-scoring teams may benefit more from central play rather than wide cross-heavy strategies.","[1] The model assumes consistency across leagues without addressing potential league-specific tactical norms or differences in defensive styles, which might influence the effectiveness of specific actions. [2] By aggregating team actions, the model overlooks individual player contributions within specific roles, limiting insights into player-level strategies that could also drive scoring."
Action Valuation of On- and Off-Ball Soccer Players Based on Multi-Agent Deep Reinforcement Learning,"Hiroshi Nakahara, Kazushi Tsutsui, Kazuya Takeda, & Keisuke Fujii",2023,This study proposes a holistic framework for valuing both on-ball and off-ball player actions in soccer using multi-agent deep reinforcement learning (RL). It aims to evaluate how players contribute to both attacking and defensive phases by analyzing their movements and decisions throughout the game.,55,matches,55 Meiji J1 League matches during the 2019 season,Asia,Reinforcement Learning,A deep reinforcement learning model with action supervision is used to compute state-action values (Q-values) for on- and off-ball players. The model mimics Google Footballs action space and leverages supervised learning to estimate Q-values in real-time game scenarios.,Event Data and Tracking Data,21,"x-coordinate, y-coordinate, x velocity, y velocity, Idle action, start sprint, stop sprint, release direction, pass, shoot, Goal, EPV, Concede, move up, move up right, move right, move down right, move down, move down left, move left, move up left",Player,"Q-values, representing the contribution of their actions to the teams success.",Player Performance Related,Algorithmic rating/composite,"[1] The proposed RL model effectively evaluates both on-ball and off-ball contributions, highlighting the importance of indirect actions (e.g., movement without the ball). [2] A moderate negative correlation was found between Q-values and season goals, suggesting that the model values defensive and passing actions more than direct scoring. [3] The model correlates weakly with expert ratings and existing off-ball metrics (e.g., OBSO), emphasizing the unique perspective it provides by valuing actions across all game phases.","[1] The models complexity may limit interpretability, and it struggles with certain counterfactual scenarios (actions not taken by players). [2] The study focuses on attacking phases within the final third, which may overlook defensive contributions and player performance across the full pitch. [3] Limited data (55 games) and a small player sample (14 Yokohama F. Marinos players) could reduce generalizability."
Introducing an expert system for prediction of soccer player ranking using ensemble learning,Reza Maanijou & Seyed Abolghasem Mirroshandel,2019,This study proposes a web-based expert system using ensemble learning to rank soccer players. The system combines various machine learning classifiers optimized by a genetic algorithm to predict player ranks across multiple categories.,495,player,"495 players from the Persian Gulf Premier League, with data collected over the 2015-2016 season",Asia,Ensemble Learning,"Ensemble learning with weighted voting and genetic algorithm optimization, combining classification algorithms like Naive Bayes, SVM, and BayesNet.",Aggregated Data,20,"Age, Appearances in Domestic Leagues, Appearances in International Cups, Appearances in Played Matches, Appearances in National Team, Play Time in International Cups, Play Time in Played Matches, Play Time in National Team, Trophies, Yellow Cards, Trophy Points, Card Points, Goals in Domestic League, Goals in Cups, Goals in National Team, Position, Ranking",Player,Player's Rank,Player Performance Related,Predictive,"[1] The ensemble model showed superior accuracy over individual classifiers, especially when optimized with genetic algorithms. [2] Player rankings produced by the system aligned closely with expert assessments, providing reliable ranking predictions.","[1] The system relies on a regional dataset (Persian Gulf Premier League), limiting its generalizability to other leagues. [2] The genetic algorithm optimization increases computational demands, potentially limiting real-time performance. [3] While ranking is divided into four classes, finer distinctions could enhance player evaluation and scouting applications."
Plus-Minus Player Ratings for Soccer,"Tarak Kharrat, Javier López Peña, & Ian G. McHale",2020,"This study adapts the plus-minus (PM) ratings, commonly used in basketball and ice hockey, for use in soccer. It aims to objectively measure player contributions to team performance by introducing two innovative rating systemsExpected Goals Plus-Minus (xGPM) and Expected Points Plus-Minus (xPPM).",20868,matches,20868 games from 11 European leagues over 8 seasons,Europe,Regression,"Ridge Regression adapted to regularlize adjusted PM model, Expected Goals Model measures player impact on scoring chances and Expected Points Model to measure player impact on match outcomes.",Aggregated Data,20,"Player-presence indicator, home advantage, Man-power Red Card, Man-power Red Card 2, Man-power Red Card 3, Segment length, Exponential time decay weight, Goals, Shots, Substitution, Premier League, Championship, Bundesliga, La Liga, Serie A, Ligue 1, Eredivisie, Primeira Liga, Russian Premier League, Jupiter League",Player,"Plus/Minus Ratings, Expected Goals Plus-Minus, Expected Points Plus-Minus",Player Performance Related,Algorithmic rating/composite,"[1]  xGPM and xPPM provide more nuanced evaluations by considering in-game context, as they consider the location of shots and the impact of the players in certain positions. [2] The PM adaptations allowed for relative strength ranking across European leagues, with the English Premier League emerging as the strongest.","[1] Goalkeepers and frequently substituted players may yield less meaningful PM ratings due to limited data or irregular playtime, which makes it an inaccurate model to judge goalkeepers impact and performance. [2] The model struggles to differentiate players with consistently high performance who always play together, as they do not consider individual performance data to evalaute individual contributions. [3] The method's computational demands may limit its scalability across smaller clubs or leagues with fewer resources."
Factors that Influence Player Market Value in Different Position: Evidence from European Leagues,"Zhangyi Rong, Lujie Wang, Shengting Xie",2024,This study analyzes different playing positions and their relation towards market value,400,player,400 players from UEFA First Tier Leagues,Europe,Regression,"Simple Linear Regression, Multiple Linear Reression, ANOVA Test, T-Test",Aggregated Data,13,"Age, League Rank, Goals, Assists, interceptions, clearances, Save-rate, Height, Appearances, Starts, Local League",Player,Market Value,Financial Related,Explanatory (associational/regression),"[1] younger players have higher market value, age is an important feature in market value. [2] Goalkeepers are exhibit distintive trajectories with their age as it's more consistent as they age, showing that differening positions does impact a player's value.",[1] Scope of dataset only includes European leagues [2] factors are not adqueate [3] no specific positions but only general positions considered
Identifying key players in soccer teams using network analysis and pass difficulty,Ian G. McHale & Samuel D. Relton,2018,"This study uses network analysis combined with a statistical model of pass difficulty to identify key players in soccer teams. The methodology aims to determine pivotal players by assessing the complexity of passes and their impact on team dynamics, supporting decisions in lineup optimization and opponent analysis.",380,matches,380 matches of the 2012-2013 English Premier League season,Europe,"Regression , Graph-Based Modelling",Generalized Additive Mixed Model (GAMM) to evaluate pass difficulty based on contextual factors and integrates network analysis to measure player centrality and connection strength in passing.,Event Data and Tracking Data,17,"Pass distance, Passer to receiver margin-of-errors angle (moe), moe², x-coordinate, y-coordinate, Forward-pass dummy, Difference between opposition and own-team average x-position, home advantage, Number of opponents ? 4 m of passer, Number of opponents within 4 m of intended receiver, Time-on-ball (s), Time-on-ball², Touches count, First-time-pass dummy, Pass number in possession sequence",Player,Pass Success Probability,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] The network analysis with weighted pass difficulty effectively identified central players who contribute significantly to offensive play. [2] Difficult passes, weighted higher in the analysis, showed which players contribute meaningfully to ball advancement and scoring opportunities.",[1] The number of covariates may limit applicability for real-time decision-making due to computational demands.
